Transaction_ID,Transaction_Date,Value_Date,Posting_Date,GL_Code,Cost_Center,Department,Vendor_ID,Vendor_Name,Vendor_Tax_ID,Invoice_Number,Purchase_Order_No,Currency,Amount,Payment_Method,Bank_Name,Bank_Branch_Code,ABA_Routing,SWIFT_BIC,IBAN,Account_Number,Beneficiary_Name,Remittance_Info,Credit_Card_Number,CVV,Card_Expiry,Approval_Code,Internal_Risk_Score
6ed75fa1-e6bd-4c0e-9df6-322355b84fbf,2025-08-27,2025-08-29,2025-09-01,2941-92-APAC,CC-127,constructeur de routes,VND-48235,Green-Reid,05-8278402,INV-511341,PO-6325,IRR,46407.37,ACH,Banco Santander,962,129792040,EWUQGBAA,FR7305339077886049151807162,VCSW86497879029929,Olivier Regnier-Dupré,Lesen einfach las.,,,,mT9704,Low
ec74eadb-dcbd-4d6e-8e36-adf79861b9b0,2025-12-02,2025-12-03,2025-12-04,2170-85-APAC,CC-217,Winzer,VND-86568,Hill-Brown,77-1995066,INV-561314,PO-8297,MYR,19950.75,Wire Transfer,Crédit Agricole,935,064106762,PTDJFRCIRFD,FR0508024463108556570744275,670251577337065283,Cord Dörr-Putz,Table pas cours dégager victime morceau.,,,,tq4492,High
a95ac916-4014-4396-bd8f-d3fc98ecbdd2,2025-05-01,2025-05-01,2025-05-05,2565-69-US,CC-748,courtier,VND-20151,Smith-Hussain,35-7889029,INV-150918,PO-8424,BYR,1672.61,Wire Transfer,Commerzbank,691,048153715,TTUIDE77,FR0463313618924144676412679,568230401619890917,Univ.Prof. Gertrud Bohnbach B.Eng.,Haïr prière jeu.,,,,oE5445,Medium
2dce6001-08f1-4142-8af2-6cecb68ab2cb,2026-01-03,2026-01-05,2026-01-10,5941-13-EU,CC-442,"Producer, television/film/video",VND-18948,Bourdon,55-6882329,INV-678040,PO-7569,CAD,47345.24,Check,Wells Fargo,572,103736831,PRBJGB2C,FR2817951731928471537365337,ZOZY27086833345141,Éléonore-Margot Perrin,Quos mollitia maiores inventore est earum.,,,,ur2958,High
a4dcd9bf-ab07-483a-bca8-e1c05f80d20a,2025-05-14,2025-05-15,2025-05-15,4128-86-US,CC-147,Public relations officer,VND-13169,Gude Stiftung & Co. KG,13-8173413,INV-819084,PO-9266,BHD,39859.56,Check,Credit Suisse,495,028567101,GDKXGBJ500M,FR4751935825880424430824697,ECGD92436853596715,Michael Foster,Journal point de.,,,,Xz7504,High
b188e50a-525d-4661-9872-4a4d53cdb6ab,2025-07-20,2025-07-22,2025-07-22,4527-92-APAC,CC-394,Forensic psychologist,VND-60226,Weeks-Horn,54-5190073,INV-368707,PO-9474,BSD,22348.31,Credit Card,Commerzbank,716,069292969,QGFKGBS0V5B,GB57WKDJ24493023251818,DOQJ57203037605965,Jamie Chamberlain-Khan,Jahr gegen und später Wort.,4209119782545312,118,10/34,sG5052,High
479cbbc8-3e9b-4436-9fa6-7bad0c88767a,2025-11-29,2025-11-29,2025-12-04,1212-44-APAC,CC-693,ergothérapeute,VND-68568,Price-Davidson,38-3125429,INV-403119,PO-6465,UYU,24480.12,ACH,Royal Bank of Canada,637,114249838,WVPZDEVM7SW,GB56XEEZ43460825173548,WRVG72082739399697,Jay Stone,Zahl man wohl finden Hunger Spiel.,,,,zb6880,Low
0faf47aa-37e4-4c5c-ad45-53db23f370bf,2026-01-12,2026-01-14,2026-01-17,4737-47-US,CC-985,Winzer,VND-53937,Jacquet,90-8024064,INV-210763,PO-8077,BMD,12742.06,SEPA,Crédit Agricole,279,022164021,GDZPDEYV0DE,GB84WNVW88340847617208,XKTB24011698432769,Alice Legendre,Southern article create who officer her.,,,,mi1855,Medium
4fc3214b-156a-4160-bdf3-520f9c1fb1d1,2025-05-13,2025-05-15,2025-05-17,7823-93-APAC,CC-763,Heritage manager,VND-90025,Heydrich,36-5961967,INV-492271,PO-5774,BMD,41831.49,SEPA,BNP Paribas,827,066401452,OWDDGBCR,FR5155890808463738621603639,443409899016659602,Grégoire Cordier,Nearly partner particular.,,,,Ls9666,Medium
5e9e170f-a864-46be-b0ca-2a0bc4c093f8,2025-12-03,2025-12-05,2025-12-10,7341-20-APAC,CC-200,Publishing copy,VND-10442,Heintze GmbH & Co. OHG,52-3496107,INV-618165,PO-9497,PLN,39077.42,ACH,Toronto-Dominion Bank,346,062042572,KAAADEYM,FR0454108271986090683756236,QNZL77017917036433,Aaron Gonzalez,Mehr zu ab.,,,,fA4543,High
