Patient_ID,Medical_Record_Number,Visit_ID,First_Name,Last_Name,SSN,Date_of_Birth,Gender,Street_Address,City,State,Zip_Code,Phone_Number,Email,Insurance_Provider,Insurance_Policy_Num,Group_ID,Admission_Date,Discharge_Date,Attending_Physician,Facility_Name,Primary_Diagnosis_Code,Secondary_Diagnosis_Code,Procedure_Code_CPT,Medication_List,Lab_Result_ID,Blood_Type,Notes_Comments
92efa06c-a512-4e4b-82aa-414d96bccefb,3758742,VST-27620994,Craig,Jones,755-42-5357,1962-01-03,F,730 Michael Ville Suite 258,New Josephshire,CA,22038,(328)627-7994x61575,mgraham@hotmail.com,Kaiser Permanente,X57090567,GRP9596,2024-10-03,2024-10-09,Dr. Sawyer,North Allison General Hospital,B34.9,I10,33244,"Hydrochlorothiazide, Sertraline, Simvastatin",LAB-7482012,A+,Patient strictly confidential. HIPAA Protected.
1a28d936-f3cf-4d1e-ba80-27d7b54bce3e,6627268,VST-15065331,Brandy,Stafford,899-54-3685,2023-09-08,F,387 Leslie Cliff,Dukeside,NJ,48435,262-520-4501,zsimmons@hotmail.com,Kaiser Permanente,X38670364,GRP8439,2025-12-14,2025-12-24,Dr. Johnson,Holmesview General Hospital,E03.9,E11.9,40281,"Omeprazole, Gabapentin, Albuterol",LAB-7553341,A+,Patient strictly confidential. HIPAA Protected.
8a6b2b2e-8885-49be-ae48-5c2c0a30c53e,2094159,VST-51532704,Susan,Long,709-74-6738,1985-08-16,M,94812 Tracey Valleys Suite 234,Banksside,WI,45439,266.416.0001x79462,wgardner@hotmail.com,Aetna,X68564858,GRP4284,2025-10-19,2025-10-26,Dr. Thomas,Harpertown General Hospital,K21.9,M54.5,43240,Amlodipine,LAB-3579848,B+,Patient strictly confidential. HIPAA Protected.
209c50e4-f02f-4c08-ac99-9a4a7420eda5,7766815,VST-90143254,Julie,Robertson,447-64-2226,1962-11-08,F,7844 Melissa Streets,West Amymouth,DE,31543,845-875-7592,iallen@yahoo.com,Blue Cross Blue Shield,X55771603,GRP4559,2024-06-15,2024-06-20,Dr. Williams,Tylermouth General Hospital,I25.10,M54.5,55126,"Furosemide, Albuterol, Losartan",LAB-1558237,A+,Patient strictly confidential. HIPAA Protected.
edd2424a-d494-4d8d-8424-b65c837d12da,9424683,VST-31685066,Heather,Cummings,421-40-2986,1961-01-01,F,79371 Rebecca Mountain Apt. 880,East Russell,RI,73078,(365)539-2747,yhenderson@gmail.com,Medicare,X67418144,GRP2574,2025-09-22,2025-09-30,Dr. Arnold,Kimburgh General Hospital,K21.9,E03.9,80470,Atorvastatin,LAB-1351669,B+,Patient strictly confidential. HIPAA Protected.
d3ae48ab-03d0-4fa5-9e5b-2496278a7c1c,8536148,VST-97137934,Alice,Salas,398-15-8247,1975-12-24,F,2009 Laurie Corners,West Gina,GA,97966,(758)399-3128x61953,veronicavalenzuela@hotmail.com,Aetna,X13016725,GRP1052,2024-12-20,2024-12-23,Dr. Holmes,North Vincentton General Hospital,J01.90,J44.9,18427,"Levothyroxine, Simvastatin, Lisinopril",LAB-3729215,A-,Patient strictly confidential. HIPAA Protected.
b90d0a63-4576-4427-b600-fe1809c44130,4446666,VST-13969112,Matthew,Gordon,420-81-3283,1987-12-27,F,4917 Garrett Streets,Belltown,FM,85317,(236)944-8575x9717,brandtjessica@hotmail.com,Kaiser Permanente,X17105033,GRP8901,2025-05-20,2025-05-21,Dr. Miller,Jackmouth General Hospital,J44.9,R05,20195,"Omeprazole, Simvastatin, Levothyroxine",LAB-8991543,O-,Patient strictly confidential. HIPAA Protected.
e08b2983-2249-4e12-909b-7aa5b4676839,6948517,VST-60491091,Lisa,Ponce,557-54-6174,1967-10-08,F,59366 John Manor,New Timothy,ND,54979,001-440-883-7770x900,braunjennifer@yahoo.com,Blue Cross Blue Shield,X14791622,GRP2936,2024-11-14,2024-11-16,Dr. Reynolds,East Ashley General Hospital,E11.9,E03.9,97271,"Albuterol, Gabapentin",LAB-9785401,O-,Patient strictly confidential. HIPAA Protected.
804238ff-c255-4d22-bb5c-9f0f3c86d846,3060721,VST-21058693,Tina,Fuller,085-15-6798,2021-03-13,M,47315 Salinas Tunnel,West Christopher,LA,54259,(711)346-4286x37610,michelle64@hotmail.com,Humana,X44875763,GRP8391,2025-01-29,2025-02-04,Dr. Smith,Lake Ryan General Hospital,J44.9,E03.9,37662,Gabapentin,LAB-3713963,A+,Patient strictly confidential. HIPAA Protected.
8a364ef3-24ec-485f-9480-fdbd563b0aa7,9893195,VST-24701093,Rachel,Cohen,331-80-9863,1945-02-25,F,59104 Bryan Pine,Jessicafurt,TN,21848,742-728-8338,stevenskimberly@gmail.com,Medicaid,X60337841,GRP2551,2025-03-11,2025-03-21,Dr. Payne,Daleborough General Hospital,K21.9,J01.90,88419,"Lisinopril, Albuterol, Sertraline",LAB-9474854,A-,Patient strictly confidential. HIPAA Protected.
