Employee_ID,Global_UID,Employment_Status,First_Name,Middle_Name,Last_Name,Maiden_Name,SSN_National_ID,Passport_Number,Driver_License_Number,Date_of_Birth,Place_of_Birth,Gender,Marital_Status,Nationality,Personal_Email,Work_Email,Home_Phone,Mobile_Phone,Street_Address,City,State_Province,Zip_Postal_Code,Country,Job_Title,Department,Manager_Name,Hire_Date,Annual_Salary,Bonus_Target_Percent,Direct_Deposit_Routing,Direct_Deposit_Account,Emergency_Contact,Emergency_Phone,Insurance_Policy_ID,DLP_Sensitivity_Label
EMP-10000,291e59c1-871a-4e8e-b8c3-67f98f81af72,On Leave,Jennifer,Julian,Francis,,273-64-0709,OH7064141,M7328875,1961-08-13,East Diana,Male,Widowed,United States,jbaker@yahoo.com,jennifer.francis@corp-internal.com,+443069990469,+44(0)20 7496 0673,2875 Baker Mount,Weberport,OK,25871,USA,Haematologist,Legal,Dennis Jones,2023-06-25,"$49,698",19%,091234788,MRBE49084513622368,Mrs. Shelby Williams,0808 1570065,GRP-187128,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10001,4c225f30-8ce0-4f90-8ffa-1e5abaa9bf00,On Leave,Damien,Nicole,Martin,,ZZ 97 63 60 T,OX6214787,Z6915703,1968-09-08,Edwinside,Non-Binary,Single,United States,marcscott@hotmail.co.uk,damien.martin@corp-internal.com,505-362-3254x01812,(739)839-4138,7 Joel Centers,Lake Johnmouth,HI,47297,USA,Catering manager,Legal,Debra Johnson,2024-03-26,"$109,519",18%,103291541,QLUU43933087841076,Sylvia Moore,(920)497-4254,GRP-382607,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10002,8e0cb200-9daa-486b-800f-4748599cf623,On Leave,Jennifer,Jimmy,Randall,,ZZ 74 13 03 T,KE1508779,L7670530,1982-11-27,Port Jackhaven,Prefer not to say,Widowed,United Kingdom,martyn02@outlook.com,jennifer.randall@corp-internal.com,+44(0)151 4960440,09098790439,5703 Estes Gardens,Gillespieshire,NE,06364,USA,Phytotherapist,Legal,Jeremy Murphy,2018-11-03,"$126,679",20%,037170738,HZGC88845724069945,Ellen Palmer,(029) 2018763,GRP-410759,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10003,322230e3-c4f4-43ac-83e0-df4bfca73cfe,On Leave,Justin,David,Clark,,123-35-2463,OT8747257,P4117872,1985-09-15,Murphyberg,Non-Binary,Divorced,United States,taylormark@gmail.com,justin.clark@corp-internal.com,+44(0)131 4960046,(0191)4960555,687 Jacob Locks,Millsside,WA,97274,USA,"Scientist, forensic",Sales,Elaine Owen,2023-09-25,"$96,121",5%,019816049,LPQD68397687606482,Pauline Campbell,+44(0)1632 960197,GRP-323344,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10004,e9baacf0-a910-4e60-a2a1-3a2abb909b89,Active,Leslie,Sylvia,Coleman,,125-25-8285,WH4313113,M5110990,1983-01-15,Leebury,Male,Widowed,United States,carolflores@gmail.com,leslie.coleman@corp-internal.com,+44(0)1214960155,+44(0)151 4960230,513 Nelson Hollow Suite 157,Mathischester,DE,12409,USA,Historic buildings inspector/conservation officer,Engineering,Kristin Morse,2024-04-02,"$172,384",16%,050264935,QSUE52609220645028,Dr Lynda Blake,001-721-754-4787x69257,GRP-970185,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10005,5a9df9e8-6730-4806-8b8b-8001695cff5b,On Leave,Alexandra,Mark,Robinson,,ZZ 16 78 67 T,JF6346993,Y9323457,1994-06-25,Michaelshire,Male,Divorced,United States,derekgibbs@yahoo.com,alexandra.robinson@corp-internal.com,+44(0)292018334,+44141 496 0075,"Flat 2
Abigail Station",Thomasview,MS,12897,USA,Trade union research officer,HR,Howard Cartwright,2019-01-20,"$149,026",5%,079117335,UQEH72540735522687,Ashley Andrews,200.298.0272,GRP-649113,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10006,8c530aa3-51a0-467a-a798-f510e92b12a9,Terminated,Kyle,Cheryl,Gordon,,293-60-5692,RM1572827,A3027952,1980-01-04,Leahmouth,Female,Divorced,United States,julia55@gmail.com,kyle.gordon@corp-internal.com,292.886.7643x99245,(235)275-3567x31722,"Flat 53
Colin Courts",Robinsonborough,MD,31991,USA,Cartographer,Engineering,Carol Keith MD,2023-09-06,"$168,177",17%,019883124,WLQQ81623272892508,Molly Rosales,680.964.0986x5507,GRP-987652,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10007,9b78190b-04a0-4d82-b49a-6f19d0bbfab3,On Leave,Michelle,Lee,Graham,,428-89-1849,IQ3171671,N2142252,1997-02-15,North Crystal,Non-Binary,Married,United States,qberger@gmail.com,michelle.graham@corp-internal.com,0289018000,(726)703-9950,24320 Murphy Vista,Hawkinsburgh,PW,46287,USA,Advertising art director,Legal,Angela Boyd,2019-08-14,"$134,002",19%,034167155,UQVI97731878953168,Sarah Roberts,+1-786-220-7023x2718,GRP-958085,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10008,ce50fa8d-c3da-4a32-91b3-f7576be4786c,Active,Michael,Jeffrey,Turner,,418-79-6854,ZD9624735,B1582503,1968-06-13,Lake Kyle,Non-Binary,Widowed,United States,tammie92@hotmail.com,michael.turner@corp-internal.com,(0131)4960947,547-502-4137,50 Gilbert Manor,Lake Rogerberg,AL,33733,USA,Animal nutritionist,HR,Christina Cain,2020-05-02,"$128,237",10%,061019742,RCTJ46902075993412,Paige Cook,368-467-1211,GRP-235027,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10009,422dbd42-845d-419d-99bf-677fa85bf202,Terminated,Jill,Seth,Richardson,,ZZ477371T,OP4738837,T5881225,1983-04-07,South Anthonymouth,Male,Divorced,United States,stacey53@gmail.com,jill.richardson@corp-internal.com,+44(0)191 496 0768,(466)239-6015x55882,3338 Deanna Keys Suite 714,Port Christopher,RI,32917,USA,Social researcher,Finance,Katherine Gonzalez,2025-06-05,"$139,724",20%,120915392,QLMM34294465809581,Beverley Hall-Palmer,+441184960513,GRP-299091,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10010,a8e873bc-ebfb-43e5-907e-9ac70740c445,Terminated,Melanie,Steven,Brown,,103-76-4250,VB6603503,P5733062,1976-02-18,East Seantown,Male,Divorced,United Kingdom,slambert@outlook.com,melanie.brown@corp-internal.com,(01632) 960512,739.951.7198x473,98343 Alyssa Park,Vaughanland,FL,03796,USA,Jewellery designer,Sales,Patrick May,2017-12-27,"$70,328",19%,031442190,ORHG49811208872688,Deborah Hughes-Holt,+44(0)1174960365,GRP-975499,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10011,1d2b1ce6-a988-4376-a4b8-88ba11e8b6a1,On Leave,Holly,Jason,Cole,,ZZ285187T,BK6802922,Q7922712,1977-05-21,Port Denis,Male,Single,United Kingdom,mary45@gmail.com,holly.cole@corp-internal.com,02074960612,426.850.5079x16453,3533 Hernandez Street,Leannetown,MA,32831,USA,"Designer, graphic",Sales,Kimberly Berry,2021-02-01,"$154,230",14%,049171327,WAQF88994597259805,Katherine Davenport,08081570226,GRP-224170,CONFIDENTIAL - INTERNAL USE ONLY
EMP-10012,8d3e0eee-2765-48d5-bc9d-e2b7c96d2576,On Leave,Kathleen,Louise,Dean,,ZZ203080T,WX5283561,X7749319,1994-02-10,Batesmouth,Male,Married,United States,dhussain@hotmail.co.uk,kathleen.dean@corp-internal.com,(028)9018048,320-677-7794,"Studio 2
Martin Park",West Michael,TN,97353,USA,Public relations account executive,Sales,Antony Booth,2020-07-31,"$52,785",16%,089209314,KBSF88934451397250,Melissa Valdez,(572)396-6967,GRP-996087,CONFIDENTIAL - INTERNAL USE ONLY
